date,value
12/1959,0.9
03/1960,0.5
06/1960,2.8
09/1960,0.2
12/1960,-0.2
03/1961,0.3
06/1961,-1.1
09/1961,-0.7
12/1961,1.1
03/1962,2.8
06/1962,1.9
09/1962,0.8
12/1962,1.8
03/1963,2.3
06/1963,-1.3
09/1963,4.1
12/1963,2.1
03/1964,-0.2
06/1964,2.5
09/1964,0.6
12/1964,2.8
03/1965,0.8
06/1965,1.6
09/1965,-0.3
12/1965,0.2
03/1966,-0.3
06/1966,1.4
09/1966,2.8
12/1966,0.7
03/1967,3.9
06/1967,-0.1
09/1967,1.9
12/1967,0.9
03/1968,-0.9
06/1968,3.9
09/1968,1.3
12/1968,3.7
03/1969,-0.7
06/1969,2.0
09/1969,1.7
12/1969,2.3
03/1970,2.1
06/1970,2.0
09/1970,-0.2
12/1970,0.5
03/1971,1.2
06/1971,0.4
09/1971,3.1
12/1971,-0.3
03/1972,-1.2
06/1972,2.2
09/1972,-0.5
12/1972,1.1
03/1973,2.6
06/1973,0.2
09/1973,1.0
12/1973,2.5
03/1974,0.0
06/1974,-2.0
09/1974,1.2
12/1974,0.1
03/1975,0.4
06/1975,3.2
09/1975,-1.1
12/1975,-1.5
03/1976,4.4
06/1976,0.3
09/1976,0.8
12/1976,0.9
03/1977,-0.5
06/1977,1.4
09/1977,-0.4
12/1977,-0.3
03/1978,0.7
06/1978,0.8
09/1978,1.5
12/1978,0.8
03/1979,2.7
06/1979,-1.6
09/1979,0.9
12/1979,1.9
03/1980,0.4
06/1980,0.3
09/1980,0.5
12/1980,1.7
03/1981,0.4
06/1981,1.6
09/1981,2.0
12/1981,-0.4
03/1982,-0.8
06/1982,0.9
09/1982,-0.7
12/1982,-1.6
03/1983,-1.0
06/1983,-0.2
09/1983,2.8
12/1983,1.7
03/1984,2.5
06/1984,1.1
09/1984,0.9
12/1984,0.7
03/1985,1.5
06/1985,2.2
09/1985,1.3
12/1985,-0.3
03/1986,0.7
06/1986,-0.2
09/1986,0.3
12/1986,1.7
03/1987,1.0
06/1987,1.5
09/1987,1.8
12/1987,2.0
03/1988,0.5
06/1988,0.1
09/1988,0.8
12/1988,1.5
03/1989,1.1
06/1989,2.1
09/1989,0.8
12/1989,-0.3
03/1990,0.8
06/1990,0.1
09/1990,-0.6
12/1990,0.6
03/1991,-1.3
06/1991,-0.2
09/1991,0.4
12/1991,0.1
03/1992,0.8
06/1992,0.7
09/1992,1.0
12/1992,2.1
03/1993,0.7
06/1993,0.5
09/1993,0.1
12/1993,1.8
03/1994,1.7
06/1994,1.2
09/1994,0.8
12/1994,0.9
03/1995,0.0
06/1995,0.3
09/1995,2.2
12/1995,0.1
03/1996,1.7
06/1996,0.7
09/1996,0.8
12/1996,0.9
03/1997,0.6
06/1997,3.0
09/1997,0.1
12/1997,1.4
03/1998,0.7
06/1998,1.0
09/1998,1.9
12/1998,1.5
03/1999,0.8
06/1999,0.4
09/1999,1.1
12/1999,1.7
03/2000,0.4
06/2000,0.9
09/2000,0.2
12/2000,-0.4
03/2001,1.0
06/2001,0.8
09/2001,1.2
12/2001,1.2
03/2002,0.7
06/2002,1.7
09/2002,0.4
12/2002,0.7
03/2003,0.0
06/2003,0.3
09/2003,1.6
12/2003,1.8
03/2004,0.9
06/2004,0.8
09/2004,0.7
12/2004,0.7
03/2005,0.7
06/2005,0.4
09/2005,1.0
12/2005,0.9
03/2006,0.3
06/2006,0.2
09/2006,1.4
12/2006,1.2
03/2007,1.5
06/2007,0.6
09/2007,1.1
12/2007,0.5
03/2008,1.1
06/2008,0.2
09/2008,0.8
12/2008,-0.5
03/2009,1.1
06/2009,0.6
09/2009,0.2
12/2009,0.7
03/2010,0.5
06/2010,0.6
09/2010,0.7
12/2010,1.0
03/2011,-0.3
06/2011,1.2
09/2011,1.3
12/2011,1.2
03/2012,1.0
06/2012,0.8
09/2012,0.5
12/2012,0.5
03/2013,0.3
06/2013,0.6
09/2013,0.7
12/2013,0.8
03/2014,0.7
06/2014,0.7
09/2014,0.4
12/2014,0.4
03/2015,0.9
06/2015,0.2
09/2015,1.0
12/2015,0.5
03/2016,1.0
06/2016,0.8
09/2016,0.0
12/2016,0.9
03/2017,0.4
06/2017,0.8
09/2017,0.6
12/2017,0.6
03/2018,1.1
06/2018,0.8
09/2018,0.3
12/2018,0.2
