date,value
02/1978,2.7
03/1978,2.6
04/1978,2.8
05/1978,2.8
06/1978,2.8
07/1978,2.9
08/1978,2.9
09/1978,2.8
10/1978,2.8
11/1978,2.7
12/1978,2.7
01/1979,2.7
02/1979,2.8
03/1979,2.7
04/1979,3.0
05/1979,2.9
06/1979,2.9
07/1979,2.9
08/1979,2.8
09/1979,2.9
10/1979,2.9
11/1979,3.0
12/1979,3.1
01/1980,3.1
02/1980,3.0
03/1980,3.1
04/1980,3.0
05/1980,3.0
06/1980,3.1
07/1980,3.1
08/1980,3.2
09/1980,3.2
10/1980,3.1
11/1980,3.1
12/1980,3.0
01/1981,3.0
02/1981,3.0
03/1981,3.0
04/1981,2.9
05/1981,3.0
06/1981,2.8
07/1981,3.1
08/1981,2.9
09/1981,2.9
10/1981,3.0
11/1981,3.0
12/1981,3.1
01/1982,3.2
02/1982,3.1
03/1982,3.1
04/1982,3.2
05/1982,3.4
06/1982,3.3
07/1982,3.5
08/1982,3.7
09/1982,3.7
10/1982,4.2
11/1982,4.5
12/1982,4.4
01/1983,4.2
02/1983,4.3
03/1983,4.5
04/1983,4.2
05/1983,4.6
06/1983,4.6
07/1983,4.4
08/1983,4.4
09/1983,4.3
10/1983,4.1
11/1983,4.0
12/1983,3.8
01/1984,4.0
02/1984,3.9
03/1984,3.9
04/1984,4.1
05/1984,3.9
06/1984,3.9
07/1984,3.9
08/1984,3.8
09/1984,3.9
10/1984,3.9
11/1984,3.8
12/1984,3.5
01/1985,3.8
02/1985,3.9
03/1985,3.6
04/1985,3.6
05/1985,3.4
06/1985,3.4
07/1985,3.5
08/1985,3.6
09/1985,3.5
10/1985,3.6
11/1985,3.5
12/1985,3.4
01/1986,3.5
02/1986,3.7
03/1986,3.7
04/1986,4.0
05/1986,3.9
06/1986,4.0
07/1986,4.0
08/1986,4.0
09/1986,4.0
10/1986,3.9
11/1986,4.2
12/1986,4.2
01/1987,4.1
02/1987,4.2
03/1987,4.2
04/1987,4.2
05/1987,4.3
06/1987,4.4
07/1987,4.4
08/1987,4.5
09/1987,4.3
10/1987,4.3
11/1987,4.4
12/1987,4.3
01/1988,4.4
02/1988,4.4
03/1988,4.1
04/1988,4.2
05/1988,3.6
06/1988,4.3
07/1988,3.9
08/1988,3.9
09/1988,3.9
10/1988,4.0
11/1988,3.9
12/1988,4.3
01/1989,4.1
02/1989,4.2
03/1989,4.0
04/1989,4.0
05/1989,4.1
06/1989,3.9
07/1989,4.1
08/1989,4.2
09/1989,4.5
10/1989,4.1
11/1989,4.3
12/1989,4.3
01/1990,4.5
02/1990,4.3
03/1990,4.4
04/1990,4.5
05/1990,4.5
06/1990,4.6
07/1990,4.7
08/1990,4.8
09/1990,5.2
10/1990,5.2
11/1990,5.5
12/1990,5.6
01/1991,5.7
02/1991,6.1
03/1991,6.4
04/1991,6.6
05/1991,5.9
06/1991,6.8
07/1991,7.0
08/1991,6.8
09/1991,6.8
10/1991,6.8
11/1991,7.0
12/1991,6.8
01/1992,7.1
02/1992,7.4
03/1992,7.3
04/1992,7.7
05/1992,7.7
06/1992,7.6
07/1992,7.7
08/1992,7.9
09/1992,8.0
10/1992,7.9
11/1992,7.9
12/1992,7.8
01/1993,7.8
02/1993,7.7
03/1993,7.8
04/1993,7.8
05/1993,7.7
06/1993,7.6
07/1993,7.6
08/1993,7.6
09/1993,8.1
10/1993,7.7
11/1993,7.4
12/1993,7.5
01/1994,7.5
02/1994,7.4
03/1994,7.4
04/1994,7.2
05/1994,7.3
06/1994,7.2
07/1994,7.1
08/1994,7.2
09/1994,6.5
10/1994,7.1
11/1994,7.0
12/1994,7.2
01/1995,7.0
02/1995,7.1
03/1995,7.0
04/1995,7.0
05/1995,6.9
06/1995,7.1
07/1995,7.2
08/1995,7.3
09/1995,7.3
10/1995,7.2
11/1995,7.0
12/1995,7.3
01/1996,7.0
02/1996,7.3
03/1996,7.3
04/1996,7.2
05/1996,7.2
06/1996,7.4
07/1996,7.3
08/1996,7.2
09/1996,7.0
10/1996,7.1
11/1996,7.2
12/1996,7.2
01/1997,7.3
02/1997,7.5
03/1997,7.6
04/1997,7.6
05/1997,7.6
06/1997,7.6
07/1997,7.5
08/1997,7.5
09/1997,7.3
10/1997,7.6
11/1997,7.5
12/1997,7.4
01/1998,7.4
02/1998,7.3
03/1998,7.3
04/1998,7.6
05/1998,7.4
06/1998,7.4
07/1998,7.3
08/1998,7.5
09/1998,7.2
10/1998,7.5
11/1998,7.3
12/1998,7.3
01/1999,7.1
02/1999,7.1
03/1999,7.1
04/1999,7.3
05/1999,7.3
06/1999,7.4
07/1999,7.1
08/1999,6.9
09/1999,6.5
10/1999,6.9
11/1999,7.0
12/1999,6.8
01/2000,6.8
02/2000,6.9
03/2000,6.1
04/2000,6.3
05/2000,6.8
06/2000,6.3
07/2000,6.1
08/2000,6.9
09/2000,6.5
10/2000,7.1
11/2000,7.2
12/2000,7.0
01/2001,7.1
02/2001,7.0
03/2001,7.1
04/2001,6.8
05/2001,6.7
06/2001,6.8
07/2001,7.0
08/2001,7.1
09/2001,7.1
10/2001,7.1
11/2001,7.0
12/2001,7.0
01/2002,7.1
02/2002,7.0
03/2002,6.9
04/2002,6.9
05/2002,6.7
06/2002,6.6
07/2002,6.7
08/2002,6.7
09/2002,6.6
10/2002,6.5
11/2002,6.3
12/2002,6.5
01/2003,6.9
02/2003,7.3
03/2003,7.4
04/2003,7.6
05/2003,7.6
06/2003,7.6
07/2003,7.5
08/2003,7.4
09/2003,7.5
10/2003,7.6
11/2003,7.7
12/2003,7.6
01/2004,7.3
02/2004,7.3
03/2004,7.4
04/2004,7.1
05/2004,7.4
06/2004,7.5
07/2004,7.4
08/2004,7.4
09/2004,7.4
10/2004,7.3
11/2004,7.2
12/2004,7.3
01/2005,7.2
02/2005,7.2
