date,value
02/1978,6.6
03/1978,6.3
04/1978,6.3
05/1978,6.2
06/1978,6.3
07/1978,6.2
08/1978,6.5
09/1978,6.2
10/1978,6.2
11/1978,6.3
12/1978,6.4
01/1979,6.4
02/1979,6.3
03/1979,6.3
04/1979,6.5
05/1979,6.2
06/1979,6.3
07/1979,6.3
08/1979,6.1
09/1979,6.2
10/1979,6.4
11/1979,6.0
12/1979,6.1
01/1980,6.1
02/1980,6.0
03/1980,5.9
04/1980,6.1
05/1980,6.2
06/1980,6.3
07/1980,6.1
08/1980,6.2
09/1980,6.1
10/1980,6.1
11/1980,5.9
12/1980,6.1
01/1981,5.9
02/1981,5.6
03/1981,5.7
04/1981,5.6
05/1981,5.6
06/1981,5.4
07/1981,5.8
08/1981,5.8
09/1981,5.8
10/1981,5.9
11/1981,6.0
12/1981,6.0
01/1982,6.0
02/1982,6.3
03/1982,6.3
04/1982,6.3
05/1982,6.6
06/1982,6.8
07/1982,6.9
08/1982,7.0
09/1982,7.4
10/1982,8.3
11/1982,8.7
12/1982,9.4
01/1983,9.3
02/1983,9.7
03/1983,10.0
04/1983,10.2
05/1983,10.3
06/1983,10.2
07/1983,10.5
08/1983,10.2
09/1983,10.3
10/1983,10.0
11/1983,9.7
12/1983,9.5
01/1984,9.5
02/1984,9.4
03/1984,9.2
04/1984,9.4
05/1984,8.9
06/1984,9.1
07/1984,8.9
08/1984,8.8
09/1984,8.7
10/1984,8.7
11/1984,8.7
12/1984,8.5
01/1985,8.6
02/1985,8.4
03/1985,8.7
04/1985,8.4
05/1985,8.4
06/1985,8.6
07/1985,8.3
08/1985,8.2
09/1985,8.1
10/1985,7.8
11/1985,8.0
12/1985,7.8
01/1986,7.8
02/1986,8.0
03/1986,7.9
04/1986,7.9
05/1986,7.8
06/1986,7.7
07/1986,8.1
08/1986,8.2
09/1986,8.3
10/1986,8.3
11/1986,8.3
12/1986,8.4
01/1987,8.2
02/1987,8.2
03/1987,8.4
04/1987,8.3
05/1987,8.2
06/1987,8.0
07/1987,8.1
08/1987,8.1
09/1987,7.8
10/1987,8.1
11/1987,7.9
12/1987,7.7
01/1988,7.6
02/1988,7.4
03/1988,7.5
04/1988,7.9
05/1988,7.5
06/1988,7.6
07/1988,6.8
08/1988,7.1
09/1988,6.9
10/1988,6.8
11/1988,6.6
12/1988,6.8
01/1989,6.8
02/1989,6.6
03/1989,6.3
04/1989,6.2
05/1989,6.3
06/1989,6.0
07/1989,6.1
08/1989,5.9
09/1989,6.0
10/1989,5.9
11/1989,5.8
12/1989,5.8
01/1990,6.1
02/1990,6.4
03/1990,6.2
04/1990,6.3
05/1990,6.5
06/1990,6.6
07/1990,7.1
08/1990,7.2
09/1990,7.4
10/1990,7.6
11/1990,7.9
12/1990,8.0
01/1991,8.4
02/1991,8.6
03/1991,9.2
04/1991,9.9
05/1991,9.5
06/1991,9.5
07/1991,9.7
08/1991,9.8
09/1991,10.0
10/1991,10.0
11/1991,10.2
12/1991,10.5
01/1992,10.3
02/1992,10.4
03/1992,10.5
04/1992,10.5
05/1992,10.6
06/1992,10.8
07/1992,11.1
08/1992,10.7
09/1992,10.6
10/1992,11.1
11/1992,11.1
12/1992,11.2
01/1993,10.8
02/1993,11.0
03/1993,10.9
04/1993,10.8
05/1993,10.8
06/1993,11.0
07/1993,10.9
08/1993,11.0
09/1993,10.7
10/1993,11.0
11/1993,10.9
12/1993,10.8
01/1994,10.6
02/1994,10.4
03/1994,10.4
04/1994,10.1
05/1994,9.8
06/1994,9.8
07/1994,9.6
08/1994,9.4
09/1994,9.4
10/1994,9.1
11/1994,9.1
12/1994,8.9
01/1995,8.9
02/1995,8.8
03/1995,8.6
04/1995,8.3
05/1995,8.5
06/1995,8.4
07/1995,8.4
08/1995,8.3
09/1995,8.4
10/1995,8.6
11/1995,8.5
12/1995,8.1
01/1996,8.5
02/1996,8.3
03/1996,8.4
04/1996,8.6
05/1996,8.4
06/1996,8.3
07/1996,8.6
08/1996,8.7
09/1996,8.6
10/1996,8.8
11/1996,8.5
12/1996,8.6
01/1997,8.6
02/1997,8.7
03/1997,8.6
04/1997,8.6
05/1997,8.5
06/1997,8.3
07/1997,8.6
08/1997,8.5
09/1997,8.1
10/1997,8.0
11/1997,8.0
12/1997,7.9
01/1998,7.9
02/1998,7.8
03/1998,7.9
04/1998,7.6
05/1998,7.8
06/1998,7.8
07/1998,8.0
08/1998,7.8
09/1998,7.6
10/1998,7.3
11/1998,7.6
12/1998,7.2
01/1999,7.1
02/1999,7.1
03/1999,7.0
04/1999,7.0
05/1999,7.0
06/1999,6.7
07/1999,6.7
08/1999,6.9
09/1999,7.0
10/1999,6.8
11/1999,6.4
12/1999,6.7
01/2000,6.8
02/2000,6.6
03/2000,6.6
04/2000,6.4
05/2000,6.4
06/2000,6.1
07/2000,6.0
08/2000,6.1
09/2000,6.0
10/2000,6.0
11/2000,6.3
12/2000,6.2
01/2001,6.1
02/2001,6.5
03/2001,6.5
04/2001,6.8
05/2001,6.9
06/2001,6.9
07/2001,6.9
08/2001,6.9
09/2001,6.8
10/2001,7.2
11/2001,6.9
12/2001,6.9
01/2002,6.9
02/2002,6.5
03/2002,6.4
04/2002,6.3
05/2002,6.4
06/2002,6.5
07/2002,6.2
08/2002,6.3
09/2002,6.3
10/2002,6.1
11/2002,6.2
12/2002,6.2
01/2003,6.1
02/2003,6.0
03/2003,6.1
04/2003,6.0
05/2003,6.1
06/2003,6.1
07/2003,6.1
08/2003,5.8
09/2003,5.8
10/2003,5.8
11/2003,5.7
12/2003,5.7
01/2004,5.5
02/2004,5.6
03/2004,5.4
04/2004,5.5
05/2004,5.3
06/2004,5.5
07/2004,5.6
08/2004,5.5
09/2004,5.4
10/2004,5.1
11/2004,5.2
12/2004,5.1
01/2005,5.1
02/2005,5.1
03/2005,5.2
04/2005,5.1
05/2005,5.1
06/2005,5.0
07/2005,5.0
08/2005,4.9
09/2005,5.0
10/2005,5.0
11/2005,4.9
12/2005,5.1
01/2006,5.2
02/2006,5.1
03/2006,4.9
04/2006,5.0
05/2006,4.8
06/2006,4.8
07/2006,4.7
08/2006,4.7
09/2006,4.7
10/2006,4.5
11/2006,4.5
12/2006,4.6
