date,value
1970-01-01,888
1970-02-01,893
1970-03-01,898
1970-04-01,897
1970-05-01,907
1970-06-01,906
1970-07-01,907
1970-08-01,916
1970-09-01,923
1970-10-01,944
1970-11-01,946
1970-12-01,949
1971-01-01,959
1971-02-01,964
1971-03-01,970
1971-04-01,985
1971-05-01,993
1971-06-01,998
1971-07-01,1003
1971-08-01,1007
1971-09-01,1011
1971-10-01,1014
1971-11-01,1015
1971-12-01,1016
1972-01-01,1012
1972-02-01,1048
1972-03-01,1048
1972-04-01,1043
1972-05-01,1060
1972-06-01,1064
1972-07-01,1078
1972-08-01,1085
1972-09-01,1099
1972-10-01,1113
1972-11-01,1121
1972-12-01,1135
1973-01-01,1143
1973-02-01,1157
1973-03-01,1173
1973-04-01,1193
1973-05-01,1210
1973-06-01,1238
1973-07-01,1254
1973-08-01,1281
1973-09-01,1305
1973-10-01,1324
1973-11-01,1348
1973-12-01,1366
1974-01-01,1410
1974-02-01,1418
1974-03-01,1425
1974-04-01,1453
1974-05-01,1470
1974-06-01,1503
1974-07-01,1525
1974-08-01,1545
1974-09-01,1557
1974-10-01,1570
1974-11-01,1563
1974-12-01,1604
1975-01-01,1628
1975-02-01,1650
1975-03-01,1672
1975-04-01,1707
1975-05-01,1703
1975-06-01,1738
1975-07-01,1767
1975-08-01,1779
1975-09-01,1808
1975-10-01,1841
1975-11-01,1867
1975-12-01,1904
1976-01-01,2027
1976-02-01,2037
1976-03-01,2090
1976-04-01,2017
1976-05-01,2038
1976-06-01,2059
1976-07-01,2095
1976-08-01,2122
1976-09-01,2131
1976-10-01,2139
1976-11-01,2176
1976-12-01,2178
1977-01-01,2195
1977-02-01,2210
1977-03-01,2223
1977-04-01,2231
1977-05-01,2300
1977-06-01,2310
1977-07-01,2299
1977-08-01,2332
1977-09-01,2346
1977-10-01,2406
1977-11-01,2385
1977-12-01,2398
1978-01-01,2360
1978-02-01,2442
1978-03-01,2429
1978-04-01,2529
1978-05-01,2543
1978-06-01,2549
1978-07-01,2566
1978-08-01,2587
1978-09-01,2632
1978-10-01,2636
1978-11-01,2650
1978-12-01,2690
1979-01-01,2675
1979-02-01,2715
1979-03-01,2735
1979-04-01,2758
1979-05-01,2760
1979-06-01,2769
1979-07-01,2826
1979-08-01,2896
1979-09-01,2837
1979-10-01,2876
1979-11-01,2925
1979-12-01,2938
1980-01-01,3000
1980-02-01,3005
1980-03-01,3077
1980-04-01,3066
1980-05-01,3134
1980-06-01,3191
1980-07-01,3217
1980-08-01,3265
1980-09-01,3298
1980-10-01,3326
1980-11-01,3331
1980-12-01,3400
1981-01-01,3400
1981-02-01,3451
1981-03-01,3472
1981-04-01,3494
1981-05-01,3546
1981-06-01,3575
1981-07-01,3622
1981-08-01,3718
1981-09-01,3734
1981-10-01,3713
1981-11-01,3716
1981-12-01,3776
1982-01-01,3836
1982-02-01,3786
1982-03-01,3894
1982-04-01,3519
1982-05-01,3528
1982-06-01,3562
1982-07-01,3554
1982-08-01,3582
1982-09-01,3581
1982-10-01,3596
1982-11-01,3652
1982-12-01,3650
1983-01-01,3696
1983-02-01,3821
1983-03-01,3823
1983-04-01,3885
1983-05-01,3793
1983-06-01,3839
1983-07-01,3871
1983-08-01,3946
1983-09-01,3951
1983-10-01,3972
1983-11-01,3983
1983-12-01,4018
1984-01-01,4039
1984-02-01,4061
1984-03-01,4099
1984-04-01,4098
1984-05-01,4122
1984-06-01,4093
1984-07-01,4224
1984-08-01,4165
1984-09-01,4193
1984-10-01,4245
1984-11-01,4287
1984-12-01,4302
1985-01-01,4341
1985-02-01,4379
1985-03-01,4407
1985-04-01,4477
1985-05-01,4577
1985-06-01,4575
1985-07-01,4649
1985-08-01,4655
1985-09-01,4722
1985-10-01,4788
1985-11-01,4831
1985-12-01,4877
1986-01-01,4861
1986-02-01,4880
1986-03-01,4827
1986-04-01,4961
1986-05-01,5118
1986-06-01,5061
1986-07-01,5096
1986-08-01,5195
1986-09-01,5188
1986-10-01,5177
1986-11-01,5199
1986-12-01,5253
1987-01-01,5277
1987-02-01,5323
1987-03-01,5344
1987-04-01,5367
1987-05-01,5413
1987-06-01,5445
1987-07-01,5554
1987-08-01,5582
1987-09-01,5595
1987-10-01,5626
1987-11-01,5653
1987-12-01,5711
1988-01-01,5659
1988-02-01,5751
1988-03-01,5807
1988-04-01,5863
1988-05-01,5936
